[INFO] [474.290] - Start new burst interval
[INFO] [474.290] - IMU file name: /home/pi/microSWIFT/data/006_Imu_21Sep2020_13:00:00UTC_burst_12.dat
[INFO] [474.290] - IMU ON
[INFO] [557.795] - Num of samples: 299, Wanted samples: 2048
[INFO] [558.073] - Num of samples: 300, Wanted samples: 2048
[INFO] [558.361] - Num of samples: 301, Wanted samples: 2048
[INFO] [558.637] - Num of samples: 302, Wanted samples: 2048
[INFO] [558.904] - Num of samples: 303, Wanted samples: 2048
[INFO] [559.172] - Num of samples: 304, Wanted samples: 2048
[INFO] [559.461] - Num of samples: 305, Wanted samples: 2048
[INFO] [559.756] - Num of samples: 306, Wanted samples: 2048
[INFO] [560.041] - Num of samples: 307, Wanted samples: 2048
[INFO] [560.336] - Num of samples: 308, Wanted samples: 2048
[INFO] [560.625] - Num of samples: 309, Wanted samples: 2048
[INFO] [560.899] - Num of samples: 310, Wanted samples: 2048
[INFO] [561.172] - Num of samples: 311, Wanted samples: 2048
[INFO] [561.460] - Num of samples: 312, Wanted samples: 2048
[INFO] [561.745] - Num of samples: 313, Wanted samples: 2048
[INFO] [562.025] - Num of samples: 314, Wanted samples: 2048
[INFO] [562.324] - Num of samples: 315, Wanted samples: 2048
[INFO] [562.610] - Num of samples: 316, Wanted samples: 2048
[INFO] [562.895] - Num of samples: 317, Wanted samples: 2048
[INFO] [563.160] - Num of samples: 318, Wanted samples: 2048
[INFO] [563.425] - Num of samples: 319, Wanted samples: 2048
[INFO] [563.712] - Num of samples: 320, Wanted samples: 2048
[INFO] [563.996] - Num of samples: 321, Wanted samples: 2048
[INFO] [564.271] - Num of samples: 322, Wanted samples: 2048
[INFO] [564.545] - Num of samples: 323, Wanted samples: 2048
[INFO] [564.825] - Num of samples: 324, Wanted samples: 2048
[INFO] [565.090] - Num of samples: 325, Wanted samples: 2048
[INFO] [565.362] - Num of samples: 326, Wanted samples: 2048
[INFO] [565.647] - Num of samples: 327, Wanted samples: 2048
[INFO] [565.943] - Num of samples: 328, Wanted samples: 2048
[INFO] [566.245] - Num of samples: 329, Wanted samples: 2048
[INFO] [566.544] - Num of samples: 330, Wanted samples: 2048
[INFO] [566.841] - Num of samples: 331, Wanted samples: 2048
[INFO] [567.116] - Num of samples: 332, Wanted samples: 2048
[INFO] [567.395] - Num of samples: 333, Wanted samples: 2048
[INFO] [567.675] - Num of samples: 334, Wanted samples: 2048
[INFO] [567.960] - Num of samples: 335, Wanted samples: 2048
[INFO] [568.245] - Num of samples: 336, Wanted samples: 2048
[INFO] [568.526] - Num of samples: 337, Wanted samples: 2048
[INFO] [568.804] - Num of samples: 338, Wanted samples: 2048
[INFO] [569.075] - Num of samples: 339, Wanted samples: 2048
[INFO] [569.356] - Num of samples: 340, Wanted samples: 2048
[INFO] [569.621] - Num of samples: 341, Wanted samples: 2048
[INFO] [569.887] - Num of samples: 342, Wanted samples: 2048
[INFO] [570.157] - Num of samples: 343, Wanted samples: 2048
[INFO] [570.445] - Num of samples: 344, Wanted samples: 2048
[INFO] [570.729] - Num of samples: 345, Wanted samples: 2048
[INFO] [571.005] - Num of samples: 346, Wanted samples: 2048
[INFO] [571.292] - Num of samples: 347, Wanted samples: 2048
[INFO] [571.585] - Num of samples: 348, Wanted samples: 2048
[INFO] [571.850] - Num of samples: 349, Wanted samples: 2048
[INFO] [572.168] - Num of samples: 350, Wanted samples: 2048
[INFO] [572.467] - Num of samples: 351, Wanted samples: 2048
[INFO] [572.747] - Num of samples: 352, Wanted samples: 2048
[INFO] [573.037] - Num of samples: 353, Wanted samples: 2048
[INFO] [573.322] - Num of samples: 354, Wanted samples: 2048
[INFO] [573.605] - Num of samples: 355, Wanted samples: 2048
[INFO] [573.870] - Num of samples: 356, Wanted samples: 2048
[INFO] [574.144] - Num of samples: 357, Wanted samples: 2048
[INFO] [574.425] - Num of samples: 358, Wanted samples: 2048
[INFO] [574.714] - Num of samples: 359, Wanted samples: 2048
[INFO] [574.986] - Num of samples: 360, Wanted samples: 2048
[INFO] [575.255] - Num of samples: 361, Wanted samples: 2048
[INFO] [575.525] - Num of samples: 362, Wanted samples: 2048
[INFO] [575.805] - Num of samples: 363, Wanted samples: 2048
[INFO] [576.081] - Num of samples: 364, Wanted samples: 2048
[INFO] [576.359] - Num of samples: 365, Wanted samples: 2048
[INFO] [576.629] - Num of samples: 366, Wanted samples: 2048
[INFO] [576.894] - Num of samples: 367, Wanted samples: 2048
[INFO] [577.159] - Num of samples: 368, Wanted samples: 2048
[INFO] [577.424] - Num of samples: 369, Wanted samples: 2048
[INFO] [577.715] - Num of samples: 370, Wanted samples: 2048
[INFO] [577.999] - Num of samples: 371, Wanted samples: 2048
[INFO] [578.298] - Num of samples: 372, Wanted samples: 2048
[INFO] [578.582] - Num of samples: 373, Wanted samples: 2048
[INFO] [578.855] - Num of samples: 374, Wanted samples: 2048
[INFO] [579.145] - Num of samples: 375, Wanted samples: 2048
[INFO] [579.415] - Num of samples: 376, Wanted samples: 2048
[INFO] [579.680] - Num of samples: 377, Wanted samples: 2048
[INFO] [579.965] - Num of samples: 378, Wanted samples: 2048
[INFO] [580.245] - Num of samples: 379, Wanted samples: 2048
[INFO] [580.517] - Num of samples: 380, Wanted samples: 2048
[INFO] [580.795] - Num of samples: 381, Wanted samples: 2048
[INFO] [581.077] - Num of samples: 382, Wanted samples: 2048
[INFO] [581.356] - Num of samples: 383, Wanted samples: 2048
[INFO] [581.631] - Num of samples: 384, Wanted samples: 2048
[INFO] [581.925] - Num of samples: 385, Wanted samples: 2048
[INFO] [582.215] - Num of samples: 386, Wanted samples: 2048
[INFO] [582.493] - Num of samples: 387, Wanted samples: 2048
[INFO] [582.785] - Num of samples: 388, Wanted samples: 2048
[INFO] [583.060] - Num of samples: 389, Wanted samples: 2048
[INFO] [583.346] - Num of samples: 390, Wanted samples: 2048
[INFO] [583.625] - Num of samples: 391, Wanted samples: 2048
[INFO] [583.895] - Num of samples: 392, Wanted samples: 2048
[INFO] [584.165] - Num of samples: 393, Wanted samples: 2048
[INFO] [584.467] - Num of samples: 394, Wanted samples: 2048
[INFO] [584.757] - Num of samples: 395, Wanted samples: 2048
[INFO] [585.040] - Num of samples: 396, Wanted samples: 2048
[INFO] [585.325] - Num of samples: 397, Wanted samples: 2048
[INFO] [585.605] - Num of samples: 398, Wanted samples: 2048
[INFO] [585.875] - Num of samples: 399, Wanted samples: 2048
[INFO] [586.146] - Num of samples: 400, Wanted samples: 2048
[INFO] [586.448] - Num of samples: 401, Wanted samples: 2048
[INFO] [586.735] - Num of samples: 402, Wanted samples: 2048
[INFO] [587.008] - Num of samples: 403, Wanted samples: 2048
[INFO] [587.295] - Num of samples: 404, Wanted samples: 2048
[INFO] [587.575] - Num of samples: 405, Wanted samples: 2048
[INFO] [587.845] - Num of samples: 406, Wanted samples: 2048
[INFO] [588.117] - Num of samples: 407, Wanted samples: 2048
[INFO] [588.394] - Num of samples: 408, Wanted samples: 2048
[INFO] [588.659] - Num of samples: 409, Wanted samples: 2048
[INFO] [588.924] - Num of samples: 410, Wanted samples: 2048
[INFO] [589.208] - Num of samples: 411, Wanted samples: 2048
[INFO] [589.493] - Num of samples: 412, Wanted samples: 2048
[INFO] [589.765] - Num of samples: 413, Wanted samples: 2048
[INFO] [590.048] - Num of samples: 414, Wanted samples: 2048
[INFO] [590.334] - Num of samples: 415, Wanted samples: 2048
[INFO] [590.633] - Num of samples: 416, Wanted samples: 2048
[INFO] [590.925] - Num of samples: 417, Wanted samples: 2048
[INFO] [591.225] - Num of samples: 418, Wanted samples: 2048
